name,shape,h_mm,b_mm,tw_mm,tf_mm,r_mm,A_cm2,mass_kgm,Iy_cm4,Wel_y_cm3,Wpl_y_cm3,iy_cm,Iz_cm4,Wel_z_cm3,Wpl_z_cm3,iz_cm,i_min_cm
L50X50X5,L,50,50,5.0,5.0,7,4.80,3.77,11.0,3.05,3.05,1.51,11.0,3.05,3.05,1.51,0.97
L60X60X6,L,60,60,6.0,6.0,8,6.91,5.42,22.8,5.29,5.29,1.82,22.8,5.29,5.29,1.82,1.17
L70X70X7,L,70,70,7.0,7.0,9,9.40,7.38,42.4,8.43,8.43,2.12,42.4,8.43,8.43,2.12,1.36
L80X80X8,L,80,80,8.0,8.0,10,12.3,9.63,72.2,12.6,12.6,2.42,72.2,12.6,12.6,2.42,1.55
L80X80X10,L,80,80,10.0,10.0,10,15.1,11.9,87.5,15.5,15.5,2.41,87.5,15.5,15.5,2.41,1.55
L90X90X9,L,90,90,9.0,9.0,11,15.5,12.2,116,18.0,18.0,2.74,116,18.0,18.0,2.74,1.75
L100X100X10,L,100,100,10.0,10.0,12,19.2,15.1,177,24.6,24.6,3.04,177,24.6,24.6,3.04,1.95
L100X100X12,L,100,100,12.0,12.0,12,22.7,17.8,207,29.1,29.1,3.02,207,29.1,29.1,3.02,1.94
L120X120X12,L,120,120,12.0,12.0,13,27.5,21.6,368,42.7,42.7,3.65,368,42.7,42.7,3.65,2.34
L150X150X15,L,150,150,15.0,15.0,16,43.0,33.8,898,83.5,83.5,4.57,898,83.5,83.5,4.57,2.93
