name,shape,h_mm,b_mm,tw_mm,tf_mm,r_mm,A_cm2,mass_kgm,Iy_cm4,Wel_y_cm3,Wpl_y_cm3,iy_cm,Iz_cm4,Wel_z_cm3,Wpl_z_cm3,iz_cm
UPN80,C,80,45,6.0,8.0,8,11.0,8.64,106,26.5,31.8,3.10,19.4,6.36,12.1,1.33
UPN100,C,100,50,6.0,8.5,8.5,13.5,10.6,206,41.2,49.0,3.91,29.3,8.49,16.2,1.47
UPN120,C,120,55,7.0,9.0,9,17.0,13.4,364,60.7,72.6,4.62,43.2,11.1,21.2,1.59
UPN140,C,140,60,7.0,10.0,10,20.4,16.0,605,86.4,103,5.45,62.7,14.8,28.3,1.75
UPN160,C,160,65,7.5,10.5,10.5,24.0,18.8,925,116,138,6.21,85.3,18.3,35.2,1.89
UPN180,C,180,70,8.0,11.0,11,28.0,22.0,1350,150,179,6.95,114,22.4,42.9,2.02
UPN200,C,200,75,8.5,11.5,11.5,32.2,25.3,1910,191,228,7.70,148,27.0,51.8,2.14
UPN220,C,220,80,9.0,12.5,12.5,37.4,29.4,2690,245,292,8.48,197,33.6,64.1,2.30
UPN240,C,240,85,9.5,13.0,13,42.3,33.2,3600,300,358,9.22,248,39.6,75.7,2.42
UPN300,C,300,100,10.0,16.0,16,58.8,46.2,8030,535,632,11.7,495,67.8,130,2.90
