name,shape,OD_mm,t_mm,A_cm2,mass_kgm,I_cm4,Wel_cm3,Wpl_cm3,i_cm
CHS48.3X3.2,CHS,48.3,3.2,4.53,3.56,11.59,4.80,6.52,1.599
CHS60.3X3.2,CHS,60.3,3.2,5.74,4.51,23.47,7.78,10.44,2.022
CHS60.3X5,CHS,60.3,5.0,8.69,6.82,33.48,11.10,15.33,1.963
CHS76.1X3.2,CHS,76.1,3.2,7.33,5.75,48.78,12.82,17.02,2.580
CHS88.9X4,CHS,88.9,4.0,10.67,8.38,96.34,21.67,28.85,3.005
CHS88.9X5,CHS,88.9,5.0,13.18,10.35,116.37,26.18,35.24,2.972
CHS114.3X5,CHS,114.3,5.0,17.17,13.48,256.92,44.96,59.77,3.868
CHS114.3X6.3,CHS,114.3,6.3,21.38,16.78,312.71,54.72,73.57,3.825
CHS139.7X5,CHS,139.7,5.0,21.16,16.61,480.54,68.80,90.76,4.766
CHS168.3X6.3,CHS,168.3,6.3,32.06,25.17,1053.42,125.18,165.42,5.732
CHS193.7X8,CHS,193.7,8.0,46.67,36.64,2015.54,208.11,276.05,6.572
CHS219.1X8,CHS,219.1,8.0,53.06,41.65,2959.63,270.16,356.68,7.469
CHS273X8,CHS,273.0,8.0,66.60,52.28,5851.71,428.70,561.97,9.373
CHS323.9X10,CHS,323.9,10.0,98.61,77.41,12158.34,750.75,985.67,11.104
