name,shape,h_mm,b_mm,tw_mm,tf_mm,r_mm,A_cm2,mass_kgm,Iy_cm4,Wel_y_cm3,Wpl_y_cm3,iy_cm,Iz_cm4,Wel_z_cm3,Wpl_z_cm3,iz_cm
IPE160,I,160,82,5.0,7.4,9,20.1,15.8,869,109,124,6.58,68.3,16.7,26.1,1.84
IPE180,I,180,91,5.3,8.0,9,23.9,18.8,1317,146,166,7.42,101,22.2,34.6,2.05
IPE200,I,200,100,5.6,8.5,12,28.5,22.4,1943,194,221,8.26,142,28.5,44.6,2.24
IPE220,I,220,110,5.9,9.2,12,33.4,26.2,2772,252,285,9.11,205,37.3,58.1,2.48
IPE240,I,240,120,6.2,9.8,15,39.1,30.7,3892,324,367,9.97,284,47.3,73.9,2.69
IPE270,I,270,135,6.6,10.2,15,45.9,36.1,5790,429,484,11.20,420,62.2,97.0,3.02
IPE300,I,300,150,7.1,10.7,15,53.8,42.2,8356,557,628,12.50,604,80.5,125,3.35
IPE330,I,330,160,7.5,11.5,18,62.6,49.1,11770,713,804,13.70,788,98.5,154,3.55
IPE360,I,360,170,8.0,12.7,18,72.7,57.1,16270,904,1019,14.95,1043,123,191,3.79
IPE400,I,400,180,8.6,13.5,21,84.5,66.3,23130,1156,1307,16.55,1318,146,229,3.95
IPE450,I,450,190,9.4,14.6,21,98.8,77.6,33740,1500,1702,18.48,1676,176,276,4.12
IPE500,I,500,200,10.2,16.0,21,115.5,90.7,48200,1928,2194,20.43,2142,214,336,4.31
IPE550,I,550,210,11.1,17.2,24,134.4,105.5,67120,2441,2787,22.35,2668,254,401,4.45
IPE600,I,600,220,12.0,19.0,24,156.0,122.4,92080,3069,3512,24.30,3387,308,486,4.66
HEA200,H,190,200,6.5,10.0,18,53.8,42.3,3692,389,429,8.28,1336,134,204,4.98
HEA220,H,210,220,7.0,11.0,18,64.3,50.5,5410,515,568,9.17,1955,178,270,5.51
HEA240,H,230,240,7.5,12.0,21,76.8,60.3,7763,675,745,10.05,2769,231,352,6.00
HEA260,H,250,260,7.5,12.5,24,86.8,68.2,10450,836,920,10.97,3668,282,430,6.50
HEA300,H,290,300,8.5,14.0,27,112.5,88.3,18260,1260,1383,12.74,6310,421,641,7.49
HEB200,H,200,200,9.0,15.0,18,78.1,61.3,5696,570,642,8.54,2003,200,306,5.07
HEB240,H,240,240,10.0,17.0,21,106.0,83.2,11260,938,1053,10.31,3923,327,498,6.08
HEB300,H,300,300,11.0,19.0,27,149.1,117.0,25170,1678,1869,12.99,8563,571,870,7.58
