name,shape,h_mm,b_mm,tw_mm,tf_mm,r_mm,A_cm2,mass_kgm,Iy_cm4,Wel_y_cm3,Wpl_y_cm3,iy_cm,Iz_cm4,Wel_z_cm3,Wpl_z_cm3,iz_cm
UC356x406x1299,H,600.0,476.0,100.0,140.0,15.4,1655.0,1299.0,755000.0,25200.0,33200.0,21.4,254000.0,10700.0,16700.0,12.4
UC356x406x1202,H,580.0,471.0,95.0,130.0,15.4,1531.0,1202.0,664000.0,22900.0,30000.0,20.8,229000.0,9710.0,15200.0,12.2
UC356x406x1086,H,569.0,454.0,78.0,125.0,15.0,1386.0,1086.0,596000.0,20900.0,27200.0,20.7,196000.0,8640.0,13400.0,11.9
UC356x406x990,H,550.0,448.0,71.9,115.0,15.0,1262.0,990.0,519000.0,18900.0,24300.0,20.3,173000.0,7740.0,12000.0,11.7
UC356x406x900,H,531.0,442.0,65.9,106.0,15.0,1149.0,900.0,450000.0,17000.0,21600.0,19.8,153000.0,6940.0,10700.0,11.6
UC356x406x818,H,514.0,437.0,60.5,97.0,15.0,1043.0,818.0,392000.0,15300.0,19300.0,19.4,136000.0,6200.0,9560.0,11.4
UC356x406x744,H,498.0,432.0,55.6,88.9,15.0,948.0,744.0,342000.0,13700.0,17200.0,19.0,120000.0,5550.0,8550.0,11.3
UC356x406x677,H,483.0,428.0,51.2,81.5,15.0,863.0,677.0,300000.0,12400.0,15400.0,18.6,107000.0,4990.0,7680.0,11.1
UC356x406x634,H,474.6,424.0,47.6,77.0,15.2,808.0,633.9,275000.0,11600.0,14200.0,18.4,98100.0,4630.0,7110.0,11.0
UC356x406x592,H,465.0,421.0,45.0,72.3,15.0,755.0,592.0,250000.0,10800.0,13100.0,18.2,90200.0,4280.0,6570.0,10.9
UC356x406x551,H,455.6,418.5,42.1,67.5,15.2,702.0,551.0,227000.0,9960.0,12100.0,18.0,82700.0,3950.0,6060.0,10.9
UC356x406x509,H,446.0,416.0,39.1,62.7,15.0,649.0,509.0,204000.0,9170.0,11000.0,17.8,75400.0,3620.0,5550.0,10.8
UC356x406x467,H,436.6,412.2,35.8,58.0,15.2,595.0,467.0,183000.0,8380.0,10000.0,17.5,67800.0,3290.0,5030.0,10.7
UC356x406x393,H,419.0,407.0,30.6,49.2,15.2,501.0,393.0,147000.0,7000.0,8220.0,17.1,55400.0,2720.0,4150.0,10.5
UC356x406x340,H,406.4,403.0,26.6,42.9,15.2,433.0,339.9,123000.0,6030.0,7000.0,16.8,46900.0,2330.0,3540.0,10.4
UC356x406x287,H,393.6,399.0,22.6,36.5,15.2,366.0,287.1,99900.0,5070.0,5810.0,16.5,38700.0,1940.0,2950.0,10.3
UC356x406x235,H,381.0,394.8,18.4,30.2,15.2,299.0,235.1,79100.0,4150.0,4690.0,16.3,31000.0,1570.0,2380.0,10.2
UC356x368x202,H,374.6,374.7,16.5,27.0,15.2,257.0,201.9,66300.0,3540.0,3970.0,16.1,23700.0,1260.0,1920.0,9.6
UC356x368x177,H,368.2,372.6,14.4,23.8,15.2,226.0,177.0,57100.0,3100.0,3460.0,15.9,20500.0,1100.0,1670.0,9.54
UC356x368x153,H,362.0,370.5,12.3,20.7,15.2,195.0,152.9,48600.0,2680.0,2960.0,15.8,17600.0,948.0,1430.0,9.49
UC356x368x129,H,355.6,368.6,10.4,17.5,15.2,164.0,129.0,40200.0,2260.0,2480.0,15.6,14600.0,793.0,1200.0,9.43
UC305x305x283,H,365.3,322.2,26.8,44.1,15.2,360.0,282.9,78900.0,4320.0,5110.0,14.8,24600.0,1530.0,2340.0,8.27
UC305x305x240,H,352.5,318.4,23.0,37.7,15.2,306.0,240.0,64200.0,3640.0,4250.0,14.5,20300.0,1280.0,1950.0,8.15
UC305x305x198,H,339.9,314.5,19.1,31.4,15.2,252.0,198.1,50900.0,3000.0,3440.0,14.2,16300.0,1040.0,1580.0,8.04
UC305x305x158,H,327.1,311.2,15.8,25.0,15.2,201.0,158.1,38700.0,2370.0,2680.0,13.9,12600.0,808.0,1230.0,7.9
UC305x305x137,H,320.5,309.2,13.8,21.7,15.2,174.0,136.9,32800.0,2050.0,2300.0,13.7,10700.0,692.0,1050.0,7.83
UC305x305x118,H,314.5,307.4,12.0,18.7,15.2,150.0,117.9,27700.0,1760.0,1960.0,13.6,9060.0,589.0,895.0,7.77
UC305x305x97,H,307.9,305.3,9.9,15.4,15.2,123.0,96.9,22200.0,1450.0,1590.0,13.4,7310.0,479.0,726.0,7.69
UC254x254x167,H,289.1,265.2,19.2,31.7,12.7,213.0,167.1,30000.0,2080.0,2420.0,11.9,9870.0,744.0,1140.0,6.81
UC254x254x132,H,276.3,261.3,15.3,25.3,12.7,168.0,132.0,22500.0,1630.0,1870.0,11.6,7530.0,576.0,878.0,6.69
UC254x254x107,H,266.7,258.8,12.8,20.5,12.7,136.0,107.1,17500.0,1310.0,1480.0,11.3,5930.0,458.0,697.0,6.59
UC254x254x89,H,260.3,256.3,10.3,17.3,12.7,113.0,88.9,14300.0,1100.0,1220.0,11.2,4860.0,379.0,575.0,6.55
UC254x254x73,H,254.1,254.6,8.6,14.2,12.7,93.1,73.1,11400.0,898.0,992.0,11.1,3910.0,307.0,465.0,6.48
UC203x203x128,H,241.4,213.9,18.1,30.1,10.2,162.0,127.5,15400.0,1280.0,1520.0,9.75,4920.0,460.0,704.0,5.5
UC203x203x114,H,235.0,212.1,16.3,26.9,10.2,145.0,113.5,13300.0,1130.0,1330.0,9.59,4290.0,404.0,618.0,5.45
UC203x203x100,H,228.6,210.3,14.5,23.7,10.2,127.0,99.6,11300.0,988.0,1150.0,9.44,3680.0,350.0,534.0,5.39
UC203x203x86,H,222.2,209.1,12.7,20.5,10.2,110.0,86.1,9450.0,850.0,977.0,9.28,3130.0,299.0,456.0,5.34
UC203x203x71,H,215.8,206.4,10.0,17.3,10.2,90.4,71.0,7620.0,706.0,799.0,9.18,2540.0,246.0,374.0,5.3
UC203x203x60,H,209.6,205.8,9.4,14.2,10.2,76.4,60.0,6120.0,584.0,656.0,8.96,2060.0,201.0,305.0,5.2
