name,shape,Ht_in,B_in,tnom_in,tdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
HSS24X12X3/4,HSS,24,12,0.75,0.698,47.1,171.16,3440,287,359,8.55,1170,195,221,4.98
HSS24X12X5/8,HSS,24,12,0.625,0.581,39.6,144.39,2940,245,304,8.62,1000,167,188,5.03
HSS24X12X1/2,HSS,24,12,0.5,0.465,32.1,116.91,2420,202,248,8.68,829,138,154,5.08
HSS22X22X7/8,HSS,22,22,0.875,0.814,67.3,244.88,4970,452,530,8.59,4970,452,530,8.59
HSS22X22X3/4,HSS,22,22,0.75,0.698,58.2,212,4350,395,462,8.65,4350,395,462,8.65
HSS20X20X7/8,HSS,20,20,0.875,0.814,60.8,221.06,3670,367,433,7.77,3670,367,433,7.77
HSS20X20X3/4,HSS,20,20,0.75,0.698,52.6,191.58,3230,323,378,7.84,3230,323,378,7.84
HSS20X20X5/8,HSS,20,20,0.625,0.581,44.3,161.4,2750,275,320,7.88,2750,275,320,7.88
HSS20X20X1/2,HSS,20,20,0.5,0.465,35.8,130.52,2260,226,261,7.95,2260,226,261,7.95
HSS20X12X3/4,HSS,20,12,0.75,0.698,41.5,150.75,2190,219,270,7.26,988,165,190,4.88
HSS20X12X5/8,HSS,20,12,0.625,0.581,35,127.37,1880,188,230,7.33,851,142,162,4.93
HSS20X12X1/2,HSS,20,12,0.5,0.465,28.3,103.3,1550,155,188,7.39,705,117,132,4.99
HSS20X12X3/8,HSS,20,12,0.375,0.349,21.5,78.52,1200,120,144,7.45,547,91.1,102,5.04
HSS20X12X5/16,HSS,20,12,0.3125,0.291,18.1,65.87,1010,101,122,7.48,464,77.3,85.8,5.07
HSS20X8X5/8,HSS,20,8,0.625,0.581,30.3,110.36,1440,144,185,6.89,338,84.6,96.4,3.34
HSS20X8X1/2,HSS,20,8,0.5,0.465,24.6,89.68,1190,119,152,6.96,283,70.8,79.5,3.39
HSS20X8X3/8,HSS,20,8,0.375,0.349,18.7,68.31,926,92.6,117,7.03,222,55.6,61.5,3.44
HSS20X8X5/16,HSS,20,8,0.3125,0.291,15.7,57.36,786,78.6,98.6,7.07,189,47.4,52,3.47
HSS20X4X1/2,HSS,20,4,0.5,0.465,20.9,76.07,838,83.8,115,6.33,58.7,29.3,34,1.68
HSS20X4X3/8,HSS,20,4,0.375,0.349,16,58.1,657,65.7,89.3,6.42,47.6,23.8,26.8,1.73
HSS20X4X5/16,HSS,20,4,0.3125,0.291,13.4,48.86,560,56,75.6,6.46,41.2,20.6,22.9,1.75
