name,shape,d_in,bf_in,tw_in,tf_in,kdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
W44X335,I,44,15.9,1.03,1.77,2.56,98.5,335,31100,1410,1620,17.8,1200,150,236,3.49
W44X290,I,43.6,15.8,0.865,1.58,2.36,85.4,290,27000,1240,1410,17.8,1040,132,205,3.49
W44X262,I,43.3,15.8,0.785,1.42,2.2,77.2,262,24100,1110,1270,17.7,923,117,182,3.47
W44X230,I,42.9,15.8,0.71,1.22,2.01,67.8,230,20800,971,1100,17.5,796,101,157,3.43
W40X655,I,43.6,16.9,1.97,3.54,4.72,193,655,56500,2590,3080,17.1,2870,340,542,3.86
W40X593,I,43,16.7,1.79,3.23,4.41,174,593,50400,2340,2760,17,2520,302,481,3.8
W40X503,I,42.1,16.4,1.54,2.76,3.94,148,503,41600,1980,2320,16.8,2040,249,394,3.72
W40X431,I,41.3,16.2,1.34,2.36,3.54,127,431,34800,1690,1960,16.6,1690,208,328,3.65
W40X397,I,41,16.1,1.22,2.2,3.38,117,397,32000,1560,1800,16.6,1540,191,300,3.64
W40X372,I,40.6,16.1,1.16,2.05,3.23,110,372,29600,1460,1680,16.5,1420,177,277,3.6
W40X362,I,40.6,16,1.12,2.01,3.19,106,362,28900,1420,1640,16.5,1380,173,270,3.6
W40X324,I,40.2,15.9,1,1.81,2.99,95.3,324,25600,1280,1460,16.4,1220,153,239,3.58
W40X297,I,39.8,15.8,0.93,1.65,2.83,87.3,297,23200,1170,1330,16.3,1090,138,215,3.54
W40X277,I,39.7,15.8,0.83,1.58,2.76,81.5,277,21900,1100,1250,16.4,1040,132,204,3.58
W40X249,I,39.4,15.8,0.75,1.42,2.6,73.5,249,19600,993,1120,16.3,926,118,182,3.55
W40X215,I,39,15.8,0.65,1.22,2.4,63.5,215,16700,859,964,16.2,803,101,156,3.54
W40X199,I,38.7,15.8,0.65,1.07,2.25,58.8,199,14900,770,869,16,695,88.2,137,3.45
